,country,year,attack type,target industry,financial loss (in million $),number of affected users,security vulnerability type,defense mechanism used,incident resolution time (in hours),data breach in gb
9491,uk,2020,phishing,retail,51.41,502006.5,zero day,antivirus,59.0,51.03
9492,uk,2020,phishing,retail,20.58,768022.0,zero day,vpn,37.0,55.2
9493,france,2024,phishing,it,51.41,502006.5,unpatched software,antivirus,28.0,98.36
9494,uk,2020,phishing,it,33.51,649406.0,social engineering,firewall,27.0,13.61
9495,japan,2023,phishing,education,51.41,744595.0,zero day,antivirus,44.0,55.2
9496,brazil,2021,phishing,it,14.72,126781.0,weak passwords,antivirus,32.0,352.21
9497,france,2015,phishing,retail,44.29,502006.5,unpatched software,encryption,11.0,162.51
9498,australia,2023,phishing,retail,41.54,502006.5,social engineering,ai based detection,37.0,60.27
9499,uk,2020,phishing,telecommunications,51.41,902952.0,weak passwords,encryption,37.0,55.2
9500,usa,2023,ransomware,it,51.41,632075.0,zero day,encryption,64.0,36.54
9501,france,2017,phishing,healthcare,51.41,728486.0,social engineering,encryption,37.0,397.05
9502,australia,2018,ddos,education,64.62,109439.0,zero day,antivirus,32.0,71.05
9503,india,2018,malware,education,86.38,1174.0,weak passwords,vpn,23.0,11.74
9504,uk,2024,phishing,it,51.41,953987.0,zero day,ai based detection,65.0,873.11
9505,brazil,2021,phishing,government,56.2,713309.0,zero day,antivirus,51.0,241.31
9506,russia,2020,ddos,healthcare,11.38,334528.0,weak passwords,vpn,37.0,45.53
9507,usa,2016,phishing,it,92.53,219826.0,zero day,antivirus,38.0,162.51
9508,usa,2015,sql injection,it,88.6,502006.5,social engineering,antivirus,37.0,29.8
9509,usa,2017,man-in-the-middle,it,30.4,568560.0,zero day,ai based detection,49.0,189.37
9510,uk,2019,malware,education,90.7,440178.0,zero day,vpn,15.0,1.51
9511,japan,2023,phishing,healthcare,51.41,172628.0,weak passwords,encryption,4.0,11.83
9512,usa,2022,ransomware,government,51.41,257989.0,unpatched software,ai based detection,37.0,55.2
9513,japan,2021,phishing,it,9.42,573560.0,zero day,antivirus,9.0,37.54
9514,brazil,2018,malware,education,5.27,850056.0,weak passwords,antivirus,37.0,74.54
9515,australia,2020,ddos,retail,51.41,860119.0,unpatched software,encryption,30.0,55.2
9516,usa,2020,sql injection,education,51.41,140958.0,social engineering,ai based detection,51.0,872.88
9517,china,2015,ddos,telecommunications,61.24,965727.0,zero day,ai based detection,32.0,325.64
9518,russia,2015,malware,telecommunications,69.34,20269.0,social engineering,vpn,36.0,55.2
9519,germany,2015,phishing,it,7.84,323011.0,zero day,encryption,25.0,29.75
9520,usa,2016,ransomware,retail,51.41,50321.0,social engineering,antivirus,37.0,55.2
9521,russia,2020,ddos,banking,33.99,851863.0,weak passwords,antivirus,37.0,1068.17
9522,china,2024,phishing,it,22.45,704925.0,zero day,ai based detection,52.0,228.3
9523,france,2018,ransomware,it,27.78,355077.0,unpatched software,vpn,37.0,55.2
9524,australia,2022,malware,education,47.12,502006.5,social engineering,antivirus,17.0,13.69
9525,germany,2016,sql injection,telecommunications,48.77,169455.0,zero day,antivirus,37.0,15.97
9526,india,2023,sql injection,it,92.35,502006.5,unpatched software,encryption,30.0,9.18
9527,uk,2019,phishing,it,88.98,502006.5,zero day,firewall,35.0,55.2
9528,japan,2020,ransomware,it,61.69,502006.5,zero day,antivirus,42.0,71.05
9529,uk,2020,phishing,telecommunications,51.41,262201.0,zero day,encryption,54.0,43.47
9530,uk,2020,phishing,telecommunications,67.87,683261.0,unpatched software,antivirus,37.0,183.81
9531,usa,2022,phishing,it,59.7,382379.0,unpatched software,firewall,2.0,346.71
9532,germany,2024,phishing,government,90.21,510657.0,social engineering,vpn,62.0,5.54
9533,uk,2018,sql injection,it,16.23,912558.0,unpatched software,antivirus,69.0,22.3
9534,uk,2020,ransomware,banking,51.41,952504.0,zero day,ai based detection,45.0,186.83
9535,france,2015,phishing,government,51.41,913027.0,unpatched software,antivirus,68.0,27.07
9536,brazil,2020,phishing,government,31.04,269271.0,unpatched software,antivirus,58.0,16.49
9537,uk,2016,phishing,healthcare,51.41,502006.5,social engineering,antivirus,11.0,55.2
9538,russia,2023,ddos,healthcare,46.2,310868.0,weak passwords,antivirus,37.0,7.89
9539,japan,2024,man-in-the-middle,telecommunications,51.41,502006.5,social engineering,antivirus,14.0,34.73
9540,usa,2020,ransomware,it,51.41,912183.0,weak passwords,encryption,44.0,89.39
9541,brazil,2017,man-in-the-middle,it,51.41,871891.0,social engineering,antivirus,52.0,23.09
9542,usa,2020,sql injection,it,14.17,502006.5,unpatched software,vpn,15.0,55.2
9543,uk,2018,malware,healthcare,51.41,434626.0,social engineering,ai based detection,29.0,23.26
9544,australia,2020,phishing,it,51.41,502006.5,zero day,antivirus,63.0,451.66
9545,uk,2022,ransomware,retail,10.44,502006.5,unpatched software,firewall,37.0,45.21
9546,russia,2019,ransomware,healthcare,51.41,217438.0,social engineering,firewall,14.0,149.44
9547,india,2020,phishing,healthcare,30.83,481452.0,zero day,antivirus,57.0,167.17
9548,uk,2020,phishing,education,51.41,386093.0,unpatched software,antivirus,42.0,21.3
9549,france,2019,man-in-the-middle,it,28.29,929020.0,weak passwords,antivirus,2.0,55.2
9550,usa,2022,malware,it,4.06,863756.0,unpatched software,ai based detection,66.0,93.8
9551,uk,2018,phishing,it,51.41,502006.5,unpatched software,encryption,18.0,60.85
9552,japan,2017,sql injection,it,7.31,191328.0,weak passwords,antivirus,51.0,125.68
9553,germany,2021,man-in-the-middle,banking,37.69,361849.0,zero day,firewall,37.0,38.87
9554,brazil,2016,phishing,retail,27.99,502006.5,unpatched software,antivirus,26.0,28.63
9555,uk,2024,ransomware,it,71.55,502006.5,social engineering,encryption,12.0,1110.66
9556,brazil,2024,man-in-the-middle,it,27.13,943178.0,weak passwords,antivirus,37.0,55.2
9557,australia,2021,phishing,telecommunications,10.28,994468.0,unpatched software,antivirus,8.0,55.2
9558,china,2022,phishing,retail,31.35,502006.5,weak passwords,firewall,39.0,23.06
9559,uk,2023,malware,telecommunications,80.1,237658.0,zero day,antivirus,26.0,55.2
9560,usa,2017,ransomware,it,42.19,157313.0,unpatched software,antivirus,47.0,33.93
9561,uk,2021,man-in-the-middle,it,40.98,414340.0,unpatched software,ai based detection,10.0,16.36
9562,france,2020,phishing,healthcare,58.8,153523.0,social engineering,encryption,22.0,128.62
9563,uk,2019,phishing,it,3.33,232665.0,social engineering,ai based detection,65.0,439.64
9565,brazil,2023,ransomware,government,51.41,762006.0,weak passwords,antivirus,37.0,63.76
9566,germany,2019,phishing,government,96.91,408103.0,unpatched software,firewall,27.0,12.43
9567,uk,2020,phishing,healthcare,85.91,44837.0,zero day,ai based detection,18.0,118.54
9568,germany,2020,ddos,it,51.49,642699.0,social engineering,firewall,37.0,1386.48
9569,uk,2021,ransomware,telecommunications,3.99,634820.0,unpatched software,encryption,33.0,30.84
9570,france,2021,malware,retail,3.44,887718.0,zero day,antivirus,55.0,31.06
9571,usa,2020,phishing,education,52.7,541631.0,zero day,ai based detection,30.0,23.53
9572,usa,2016,ransomware,retail,51.41,523522.0,weak passwords,encryption,57.0,26.2
9573,uk,2021,ddos,government,51.41,686309.0,unpatched software,antivirus,42.0,0.89
9574,india,2015,man-in-the-middle,education,51.41,416328.0,zero day,antivirus,55.0,55.2
9575,india,2020,man-in-the-middle,it,53.49,582718.0,social engineering,encryption,20.0,15.36
9576,japan,2021,phishing,telecommunications,18.91,549640.0,social engineering,encryption,17.0,4.88
9577,uk,2024,phishing,retail,15.34,1068.0,zero day,antivirus,3.0,168.98
9578,france,2018,ddos,telecommunications,12.72,959835.0,zero day,firewall,38.0,10.77
9579,usa,2024,ransomware,retail,46.59,227390.0,weak passwords,ai based detection,40.0,32.85
9580,uk,2021,sql injection,it,62.9,502006.5,zero day,ai based detection,43.0,492.58
9581,japan,2018,sql injection,healthcare,85.33,786644.0,unpatched software,antivirus,37.0,6.59
9582,uk,2016,malware,healthcare,85.15,454802.0,unpatched software,antivirus,48.0,5.48
9583,china,2024,ddos,healthcare,51.41,371685.0,social engineering,vpn,34.0,81.77
9584,india,2020,ransomware,it,4.32,502006.5,unpatched software,vpn,48.0,55.2
9585,australia,2024,man-in-the-middle,telecommunications,51.41,376612.0,unpatched software,vpn,37.0,5.15
9586,uk,2020,phishing,it,84.77,502006.5,unpatched software,encryption,39.0,100.64
9587,australia,2021,man-in-the-middle,banking,82.87,255967.0,social engineering,vpn,23.0,130.52
9588,uk,2023,phishing,it,5.32,463332.0,zero day,antivirus,16.0,2.49
9589,australia,2020,ddos,it,31.48,771547.0,zero day,antivirus,37.0,180.87
9590,uk,2020,ddos,retail,86.0,809209.0,social engineering,antivirus,26.0,55.2
9591,india,2020,ddos,retail,35.47,342575.0,social engineering,firewall,49.0,34.2
9592,japan,2024,phishing,retail,51.41,478963.0,zero day,vpn,70.0,357.28
9593,usa,2017,sql injection,banking,51.41,910393.0,zero day,antivirus,52.0,300.27
9594,australia,2024,phishing,it,70.52,601198.0,zero day,encryption,41.0,63.73
9595,uk,2018,ransomware,government,6.6,152302.0,social engineering,ai based detection,26.0,27.74
9596,uk,2016,sql injection,healthcare,25.85,79102.0,zero day,ai based detection,4.0,55.2
9597,uk,2017,ransomware,retail,51.41,837506.0,zero day,antivirus,8.0,51.61
9598,germany,2018,malware,it,63.81,347441.0,social engineering,firewall,58.0,128.33
9599,usa,2021,phishing,it,51.41,231198.0,unpatched software,encryption,42.0,33.57
9600,brazil,2020,phishing,government,80.09,555275.0,social engineering,antivirus,71.0,2.02
9601,uk,2020,sql injection,retail,24.51,46699.0,zero day,antivirus,53.0,366.16
9602,uk,2024,man-in-the-middle,it,51.41,706469.0,unpatched software,encryption,17.0,55.2
9603,china,2018,ransomware,it,43.73,311165.0,social engineering,ai based detection,34.0,55.2
9604,france,2019,sql injection,government,85.13,304257.0,weak passwords,antivirus,37.0,197.5
9605,brazil,2017,sql injection,telecommunications,24.05,446378.0,unpatched software,antivirus,59.0,537.52
9606,china,2021,ransomware,healthcare,32.72,994243.0,social engineering,firewall,54.0,0.82
9607,uk,2015,phishing,healthcare,51.41,98634.0,zero day,vpn,5.0,104.73
9608,usa,2018,phishing,telecommunications,42.46,502006.5,social engineering,encryption,37.0,6.42
9609,uk,2017,phishing,education,14.54,171095.0,zero day,ai based detection,63.0,115.43
9610,usa,2020,man-in-the-middle,it,38.92,820182.0,zero day,antivirus,37.0,66.15
9611,germany,2018,sql injection,telecommunications,4.2,164890.0,weak passwords,encryption,61.0,141.68
9612,china,2015,phishing,telecommunications,51.41,605020.0,unpatched software,antivirus,43.0,25.82
9613,australia,2024,ransomware,education,44.95,500747.0,unpatched software,ai based detection,58.0,3.29
9614,japan,2020,man-in-the-middle,it,51.41,502006.5,zero day,firewall,12.0,27.78
9615,uk,2020,sql injection,it,51.41,55719.0,unpatched software,firewall,71.0,100.51
9616,brazil,2015,phishing,it,19.93,355008.0,unpatched software,antivirus,31.0,250.41
9617,uk,2019,phishing,it,51.41,428615.0,zero day,ai based detection,66.0,9.41
9618,australia,2015,phishing,healthcare,76.4,108767.0,zero day,vpn,48.0,254.83
9619,india,2020,man-in-the-middle,it,51.41,502006.5,zero day,encryption,45.0,20.66
9620,uk,2019,man-in-the-middle,it,23.93,502006.5,zero day,antivirus,37.0,94.04
9621,uk,2017,man-in-the-middle,education,30.44,996762.0,social engineering,ai based detection,27.0,55.2
9622,japan,2020,phishing,it,5.14,502006.5,unpatched software,vpn,52.0,71.75
9623,brazil,2020,man-in-the-middle,banking,1.01,66191.0,weak passwords,ai based detection,71.0,208.06
9624,uk,2023,ransomware,it,18.53,925373.0,zero day,ai based detection,37.0,8.67
9625,india,2020,malware,telecommunications,1.52,913114.0,zero day,antivirus,15.0,19.69
9626,uk,2019,ddos,healthcare,84.89,163975.0,zero day,antivirus,22.0,72.06
9627,uk,2016,ddos,it,51.41,876135.0,unpatched software,ai based detection,37.0,2002.95
9628,china,2024,ransomware,government,72.61,502006.5,zero day,vpn,10.0,14.96
9629,uk,2020,ddos,government,44.16,840796.0,zero day,ai based detection,5.0,1164.68
9630,uk,2020,ddos,it,80.05,484908.0,weak passwords,firewall,42.0,1103.93
9631,uk,2018,sql injection,telecommunications,51.41,502006.5,social engineering,encryption,22.0,55.2
9632,usa,2021,phishing,it,51.41,555756.0,zero day,ai based detection,37.0,34.91
9633,india,2020,ransomware,retail,69.91,340928.0,social engineering,antivirus,61.0,55.2
9634,uk,2016,malware,telecommunications,3.76,678640.0,zero day,encryption,44.0,49.29
9635,brazil,2020,phishing,it,57.43,212798.0,social engineering,antivirus,31.0,6.62
9636,uk,2019,ransomware,retail,51.41,354024.0,weak passwords,ai based detection,33.0,55.2
9637,uk,2016,man-in-the-middle,government,41.34,189354.0,zero day,firewall,39.0,515.59
9638,australia,2020,phishing,it,22.73,502006.5,zero day,vpn,47.0,55.2
9639,brazil,2017,phishing,it,5.88,502006.5,weak passwords,ai based detection,37.0,38.05
9640,india,2017,ransomware,banking,51.41,489620.0,unpatched software,antivirus,43.0,4.26
9641,usa,2015,ddos,it,51.41,502006.5,zero day,antivirus,14.0,95.69
9642,germany,2020,phishing,it,33.24,550719.0,zero day,ai based detection,60.0,81.18
9643,germany,2019,man-in-the-middle,it,75.37,445254.0,unpatched software,vpn,42.0,55.2
9644,japan,2020,phishing,it,49.17,218097.0,zero day,vpn,32.0,39.44
9645,germany,2017,phishing,it,94.87,502006.5,zero day,vpn,37.0,55.2
9646,uk,2023,sql injection,it,51.41,497965.0,unpatched software,vpn,25.0,55.2
9647,australia,2023,sql injection,education,42.5,933030.0,social engineering,antivirus,27.0,55.2
9648,uk,2015,man-in-the-middle,it,53.07,538338.0,zero day,vpn,1.0,87.57
9649,france,2018,phishing,retail,99.78,502006.5,social engineering,ai based detection,11.0,75.37
9650,uk,2020,ddos,healthcare,51.41,502006.5,unpatched software,antivirus,38.0,294.46
9651,germany,2018,man-in-the-middle,it,81.46,316299.0,social engineering,firewall,66.0,150.73
9652,uk,2023,ransomware,healthcare,51.41,410385.0,zero day,encryption,71.0,72.91
9653,japan,2024,phishing,healthcare,99.28,589898.0,weak passwords,vpn,59.0,532.53
9654,france,2016,phishing,retail,14.86,63760.0,weak passwords,vpn,8.0,102.56
9655,usa,2015,ransomware,banking,33.75,58037.0,social engineering,vpn,13.0,386.62
9656,uk,2017,sql injection,government,51.41,994787.0,zero day,encryption,37.0,135.7
9657,india,2016,ransomware,retail,9.53,89719.0,zero day,antivirus,68.0,3.45
9658,uk,2023,sql injection,telecommunications,6.09,590760.0,unpatched software,firewall,32.0,386.55
9659,uk,2022,phishing,it,29.05,186700.0,weak passwords,antivirus,37.0,66.87
9660,japan,2019,sql injection,education,89.48,682430.0,zero day,antivirus,5.0,50.5
9661,australia,2018,sql injection,education,75.2,502006.5,social engineering,antivirus,37.0,83.26
9662,uk,2016,phishing,government,29.33,182916.0,unpatched software,antivirus,17.0,32.54
9663,france,2023,ddos,education,51.41,181879.0,zero day,antivirus,64.0,76.75
9664,australia,2017,phishing,retail,95.2,715732.0,weak passwords,antivirus,11.0,22.47
9665,uk,2023,phishing,banking,16.02,452477.0,zero day,encryption,37.0,55.2
9666,india,2018,phishing,banking,11.19,502006.5,social engineering,ai based detection,5.0,46.04
9667,uk,2017,phishing,healthcare,27.42,502006.5,social engineering,antivirus,29.0,30.76
9668,australia,2015,ransomware,telecommunications,17.38,75314.0,zero day,encryption,6.0,55.2
9669,russia,2019,man-in-the-middle,retail,99.53,515797.0,social engineering,firewall,46.0,81.71
9670,russia,2024,ddos,telecommunications,55.05,363906.0,weak passwords,antivirus,31.0,72.29
9671,uk,2020,ddos,education,79.6,446296.0,zero day,ai based detection,37.0,97.77
9672,uk,2017,ransomware,telecommunications,65.18,502006.5,unpatched software,antivirus,48.0,55.2
9673,china,2017,ransomware,education,51.41,639190.0,social engineering,antivirus,37.0,4.94
9674,usa,2022,ransomware,government,33.71,502006.5,unpatched software,vpn,48.0,139.54
9675,uk,2015,phishing,education,94.74,502006.5,social engineering,antivirus,57.0,55.2
9676,france,2020,ddos,it,75.88,822364.0,zero day,antivirus,71.0,55.2
9677,india,2020,sql injection,government,75.25,502006.5,social engineering,firewall,20.0,592.39
9678,brazil,2023,man-in-the-middle,telecommunications,90.37,705678.0,zero day,antivirus,37.0,83.59
9679,france,2020,phishing,retail,14.45,309967.0,zero day,firewall,26.0,54.02
9680,france,2022,ransomware,it,54.47,604250.0,social engineering,antivirus,63.0,30.07
9681,india,2024,ransomware,it,33.66,131900.0,unpatched software,antivirus,21.0,6.84
9682,australia,2022,ransomware,government,84.51,305494.0,social engineering,antivirus,19.0,240.23
9683,brazil,2023,phishing,healthcare,61.56,502006.5,social engineering,vpn,33.0,17.06
9684,india,2024,phishing,banking,23.32,502006.5,zero day,antivirus,37.0,16.95
9685,uk,2017,man-in-the-middle,telecommunications,51.41,57237.0,unpatched software,firewall,52.0,55.2
9686,australia,2020,phishing,telecommunications,2.84,880127.0,social engineering,antivirus,37.0,3.24
9687,uk,2017,phishing,it,71.4,502006.5,zero day,ai based detection,17.0,55.2
9688,india,2022,man-in-the-middle,banking,51.41,502006.5,zero day,antivirus,32.0,53.13
9689,india,2020,sql injection,it,78.94,502006.5,weak passwords,encryption,29.0,84.77
9690,uk,2022,malware,telecommunications,34.33,571265.0,unpatched software,firewall,17.0,112.97
9691,russia,2015,phishing,banking,40.64,259321.0,zero day,ai based detection,37.0,34.72
9692,brazil,2022,phishing,banking,59.43,121504.0,weak passwords,ai based detection,37.0,2429.78
9693,france,2020,ddos,banking,51.41,670630.0,zero day,antivirus,4.0,38.79
9694,china,2024,phishing,banking,72.18,277175.0,social engineering,firewall,72.0,38.62
9695,uk,2016,man-in-the-middle,retail,23.35,952463.0,zero day,antivirus,26.0,16.52
9696,uk,2020,phishing,government,78.32,624619.0,weak passwords,ai based detection,37.0,55.2
9697,china,2018,phishing,it,20.22,363934.0,weak passwords,antivirus,24.0,137.34
9698,japan,2017,sql injection,it,33.15,44750.0,unpatched software,firewall,22.0,332.08
9699,uk,2021,ddos,banking,51.41,736601.0,zero day,ai based detection,26.0,5.85
9700,japan,2018,phishing,education,43.32,42876.0,unpatched software,antivirus,40.0,55.2
9701,australia,2018,phishing,healthcare,90.4,536357.0,weak passwords,encryption,37.0,55.2
9702,usa,2017,phishing,government,55.34,785099.0,social engineering,encryption,37.0,131.71
9703,france,2019,ddos,healthcare,51.41,460544.0,weak passwords,firewall,29.0,55.14
9704,france,2020,ransomware,it,66.04,502006.5,zero day,antivirus,10.0,55.2
9705,india,2024,sql injection,telecommunications,51.41,502006.5,social engineering,encryption,49.0,16.23
9706,uk,2017,man-in-the-middle,telecommunications,43.82,213979.0,unpatched software,firewall,37.0,55.2
9707,uk,2021,malware,it,3.17,570243.0,unpatched software,antivirus,51.0,242.0
9708,uk,2016,malware,government,72.73,47624.0,weak passwords,firewall,70.0,7.26
9709,china,2024,man-in-the-middle,banking,16.09,72940.0,zero day,vpn,26.0,10.88
9710,japan,2020,malware,telecommunications,98.14,710142.0,zero day,ai based detection,56.0,11.35
9711,japan,2023,malware,retail,51.91,502006.5,unpatched software,firewall,47.0,150.95
9712,france,2020,phishing,it,55.9,502006.5,zero day,antivirus,3.0,7.95
9713,uk,2020,phishing,government,30.68,502006.5,social engineering,firewall,3.0,33.23
9714,uk,2020,ransomware,it,65.2,306799.0,zero day,encryption,37.0,55.2
9715,russia,2020,malware,healthcare,51.41,30180.0,weak passwords,antivirus,53.0,49.44
9716,india,2020,phishing,retail,97.87,113745.0,unpatched software,encryption,2.0,80.51
9717,japan,2024,phishing,banking,24.22,584428.0,weak passwords,firewall,34.0,11.04
9718,uk,2020,ransomware,it,3.27,502006.5,zero day,antivirus,2.0,133.26
9719,china,2022,phishing,retail,33.69,338578.0,social engineering,ai based detection,37.0,55.2
9720,china,2024,ddos,it,7.31,972407.0,zero day,encryption,37.0,33.55
9721,brazil,2022,ransomware,it,15.66,817169.0,unpatched software,firewall,54.0,77.99
9722,australia,2015,phishing,healthcare,62.34,796100.0,social engineering,antivirus,20.0,63.73
9723,uk,2016,man-in-the-middle,banking,76.06,530253.0,weak passwords,encryption,37.0,55.2
9724,australia,2024,man-in-the-middle,government,50.36,165496.0,weak passwords,encryption,37.0,17.71
9725,russia,2021,ransomware,it,34.92,501490.0,social engineering,antivirus,44.0,34.84
9726,uk,2016,malware,banking,11.81,502006.5,zero day,antivirus,72.0,54.78
9727,china,2022,malware,education,96.72,194617.0,zero day,antivirus,37.0,6.94
9728,japan,2022,man-in-the-middle,retail,44.34,516125.0,zero day,antivirus,67.0,27.28
9729,australia,2021,man-in-the-middle,telecommunications,67.72,502006.5,zero day,antivirus,31.0,55.2
9730,uk,2018,sql injection,it,34.09,197436.0,zero day,antivirus,10.0,8.04
9731,france,2022,ddos,education,31.51,452360.0,zero day,antivirus,37.0,309.47
9732,australia,2018,ddos,healthcare,51.41,913090.0,zero day,vpn,37.0,366.65
9733,germany,2018,sql injection,telecommunications,38.65,368222.0,zero day,vpn,56.0,8.43
9734,india,2022,phishing,healthcare,77.3,826937.0,zero day,antivirus,64.0,418.4
9735,brazil,2015,phishing,retail,89.93,673959.0,zero day,antivirus,39.0,55.2
9736,uk,2020,phishing,education,4.29,383246.0,zero day,antivirus,45.0,102.29
9737,uk,2019,man-in-the-middle,it,76.03,422890.0,social engineering,vpn,4.0,25.92
9738,australia,2020,phishing,it,42.3,497035.0,zero day,ai based detection,66.0,218.02
9739,brazil,2020,phishing,government,72.57,720220.0,weak passwords,firewall,71.0,100.4
9740,russia,2019,phishing,it,93.7,808318.0,zero day,antivirus,57.0,16.1
9741,germany,2022,sql injection,it,51.41,294981.0,zero day,ai based detection,3.0,9.51
9742,usa,2017,phishing,healthcare,52.7,281182.0,zero day,encryption,27.0,6.11
9743,australia,2017,ransomware,education,66.56,502006.5,zero day,antivirus,44.0,72.38
9744,brazil,2015,ransomware,retail,91.03,879260.0,social engineering,antivirus,16.0,55.2
9745,russia,2020,man-in-the-middle,it,14.74,561615.0,weak passwords,antivirus,29.0,144.96
9746,brazil,2020,phishing,it,40.29,502006.5,zero day,encryption,45.0,45.74
9747,brazil,2017,man-in-the-middle,it,56.83,171305.0,unpatched software,antivirus,37.0,9.63
9748,uk,2024,phishing,government,63.45,492909.0,zero day,antivirus,42.0,19.63
9749,uk,2020,man-in-the-middle,it,72.57,477493.0,unpatched software,encryption,16.0,307.51
9750,japan,2021,phishing,government,51.41,622723.0,zero day,antivirus,67.0,26.39
9751,uk,2016,malware,healthcare,80.22,502006.5,weak passwords,encryption,37.0,67.7
9752,china,2024,phishing,retail,34.49,897277.0,zero day,antivirus,55.0,10.88
9753,usa,2017,sql injection,healthcare,51.26,28682.0,zero day,vpn,44.0,90.46
9754,japan,2020,phishing,banking,73.04,512431.0,unpatched software,vpn,44.0,27.48
9755,uk,2018,sql injection,it,19.14,171977.0,zero day,antivirus,44.0,262.45
9756,uk,2015,sql injection,telecommunications,38.72,943070.0,zero day,vpn,36.0,174.22
9757,japan,2021,ddos,it,14.88,887855.0,zero day,ai based detection,7.0,55.2
9758,usa,2018,ransomware,retail,54.05,535110.0,zero day,antivirus,37.0,45.15
9759,usa,2021,phishing,telecommunications,42.29,817386.0,zero day,firewall,8.0,55.2
9760,india,2020,phishing,banking,96.59,206552.0,weak passwords,antivirus,13.0,6.49
9761,brazil,2020,man-in-the-middle,education,71.35,154966.0,zero day,antivirus,19.0,55.2
9762,uk,2016,phishing,banking,54.5,511287.0,unpatched software,antivirus,34.0,73.5
9763,germany,2023,phishing,it,94.48,426499.0,unpatched software,vpn,37.0,88.93
9764,uk,2016,man-in-the-middle,telecommunications,73.63,15907.0,social engineering,antivirus,36.0,55.2
9765,uk,2022,phishing,it,36.15,502006.5,weak passwords,ai based detection,31.0,55.2
9766,brazil,2023,malware,it,19.18,993826.0,zero day,firewall,7.0,221.32
9767,india,2020,ransomware,banking,51.41,502006.5,social engineering,antivirus,12.0,60.06
9768,france,2024,ransomware,it,70.98,185001.0,zero day,vpn,3.0,156.79
9769,uk,2024,ddos,it,51.41,805548.0,zero day,antivirus,10.0,3.82
9770,brazil,2015,sql injection,retail,74.74,562552.0,unpatched software,encryption,37.0,0.15
9771,uk,2018,phishing,education,33.12,724513.0,zero day,vpn,37.0,55.2
9772,uk,2024,phishing,telecommunications,51.41,715395.0,zero day,vpn,60.0,6.44
9773,france,2020,ransomware,telecommunications,75.13,177097.0,unpatched software,encryption,15.0,39.7
9774,australia,2020,man-in-the-middle,banking,56.34,407084.0,unpatched software,firewall,37.0,34.7
9775,uk,2023,phishing,healthcare,23.66,889641.0,social engineering,ai based detection,50.0,590.58
9776,uk,2019,sql injection,it,17.81,378105.0,weak passwords,encryption,37.0,99.48
9777,germany,2020,sql injection,it,43.96,597987.0,weak passwords,encryption,50.0,55.2
9778,usa,2018,phishing,education,51.41,502006.5,social engineering,firewall,37.0,191.61
9779,france,2016,phishing,healthcare,10.82,586784.0,weak passwords,antivirus,26.0,94.89
9780,india,2023,sql injection,it,48.53,421083.0,unpatched software,ai based detection,28.0,27.48
9781,uk,2023,ransomware,education,94.86,127127.0,social engineering,encryption,47.0,272.38
9782,china,2016,malware,it,15.92,668188.0,unpatched software,ai based detection,38.0,10.33
9783,uk,2018,sql injection,it,51.41,433618.0,social engineering,antivirus,59.0,88.67
9784,germany,2023,malware,telecommunications,3.86,51176.0,social engineering,encryption,61.0,5.36
9785,uk,2016,sql injection,it,34.35,918452.0,weak passwords,ai based detection,37.0,74.14
9786,germany,2023,ransomware,healthcare,84.92,152814.0,social engineering,ai based detection,33.0,72.93
9787,usa,2020,man-in-the-middle,retail,74.57,502149.0,weak passwords,ai based detection,29.0,55.2
9788,usa,2019,phishing,it,89.81,46960.0,zero day,ai based detection,16.0,5.22
9789,brazil,2017,sql injection,government,40.66,651335.0,weak passwords,encryption,21.0,22.17
9790,brazil,2020,ddos,it,69.83,587034.0,zero day,ai based detection,35.0,187.55
9791,france,2020,man-in-the-middle,healthcare,79.58,856278.0,zero day,firewall,71.0,90.29
9792,china,2022,phishing,banking,79.07,880586.0,unpatched software,antivirus,56.0,71.55
9793,usa,2019,ddos,government,81.56,78873.0,weak passwords,antivirus,27.0,13.01
9794,australia,2020,ddos,banking,51.41,810106.0,weak passwords,encryption,66.0,22.51
9795,uk,2021,ddos,government,28.71,937384.0,zero day,antivirus,67.0,55.2
9796,japan,2023,man-in-the-middle,retail,36.68,231307.0,zero day,encryption,4.0,50.54
9797,china,2016,ddos,it,71.75,816710.0,weak passwords,vpn,37.0,55.2
9798,usa,2019,man-in-the-middle,telecommunications,51.41,896828.0,weak passwords,firewall,33.0,45.93
9799,uk,2016,ddos,telecommunications,48.47,937466.0,social engineering,ai based detection,37.0,55.2
9800,china,2020,ddos,banking,11.72,81518.0,social engineering,vpn,37.0,221.56
9801,brazil,2015,malware,it,1.35,371048.0,zero day,vpn,56.0,116.15
9802,usa,2019,phishing,it,20.13,25946.0,weak passwords,ai based detection,68.0,55.2
9803,france,2017,man-in-the-middle,education,51.41,942088.0,zero day,antivirus,37.0,11.9
9804,japan,2015,malware,it,28.8,915532.0,zero day,encryption,68.0,187.52
9805,usa,2018,sql injection,government,99.49,755576.0,zero day,ai based detection,23.0,7.63
9806,brazil,2018,malware,education,51.41,661644.0,social engineering,antivirus,37.0,55.2
9807,uk,2019,phishing,telecommunications,95.75,168951.0,zero day,vpn,13.0,236.22
9808,russia,2022,man-in-the-middle,it,49.87,816398.0,social engineering,encryption,39.0,55.2
9809,uk,2017,phishing,education,51.41,79933.0,zero day,ai based detection,23.0,40.15
9810,usa,2019,malware,government,83.84,506149.0,zero day,encryption,35.0,55.2
