Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Data Breach In GB
INDIa#,2022.0,MalwaRe#,,19.56,772330.0,HackeR GRoup,UnpAtcheD SOfTwARe,,20.0,53.63
JapAN,2018.0,Man-in-ThE-MiDdle,TeleCoMmuniCatiOnS,81.61,255844.0,InsiDer, UnpatcHed SoftwaRe,ENCrypTion ,8.0,20.9
GeRmAny,2017.0,RAnsomWAre,GovernMEnT,80.7,,NaTiOn-StatE,Social EngineerINg,EncRYPTion  ,,116.98
,2020.0, SQL Injection ,RetAil,10.41,872095.0,  NatIOn-sTAte #,UnpaTCHed SOFTware ,FIreWAlL,44.0,18.73
FraNCe,2015.0,,Banking,85.36,50427.0,,ZERo-day,EncryPtion,5.0,76.67
USA,, PhishINg,  ReTail @,15.24,599197.0,UNknoWn  ,ZeRo-dAY  ,AI-BasEd DetEction,8.0,46.98
BRaZil,2022.0,MALwaRe,,40.08,459643.0,Nation-sTate,WEAk PaSswoRDS,AntIViRus,10.0,75.37
ChINa,2021.0,DDOS,,10.2,,NAtioN-sTate,,  AI-BasED DEtecTioN ,61.0,27.4
AuSTralia,2022.0,PHishiNG#,HeAlThCaRE,,496317.0, Hacker Group  ,Weak PassWords,AntIvirus,,
BrAzIl,2017.0,  Man-in-ThE-MiddlE  ,HeAlthcare,96.36,596078.0,HACKeR GRoUp,Weak PASswords  ,,10.0,63.06
BrAZil,,  RaNsOmWARe  ,BankInG,,701522.0,InSIDeR,Social EnGINeeriNG,,10.0,
IndiA,2015.0,,HeAltHcaRE,37.15,357124.0,NaTIon-STate,Weak PasswOrdS,AntiVIrus,31.0,54.26
,,SQL Injection,GOvErNmenT,47.92,112688.0,NatioN-state,SOcIaL EngiNEeRing,,15.0,
India@,2018.0,PhisHing,  REtaIl,14.46,,HackEr GroUp,SOciaL EngineerIng,,49.0,12.35
InDia,2022.0, Man-in-the-MiDdle  ,BankINg,32.47,947465.0,  UnKnowN ,,  AI-BaSed DetECTiOn,69.0,
JaPAn,2019.0, RansoMWare  @,GoverNment,81.97,358572.0,HackEr GrouP,WEak PaSswoRDs,VPN,48.0,5.15
India,2024.0,  MalwARe,IT,92.08,430701.0, HackEr GRouP,,VPN,54.0,95.4
RUSSIA,2021.0,,BANkIng#,94.48,,HackEr Group@,ZEro-dAy,AntiVIRus,1.0,10.25
  AusTRalIa,,MAlwArE,IT,84.74,391257.0,,Zero-Day  , AI-BaSeD DEtECtiOn,,35.96
,2019.0,,,81.8,277875.0, NaTion-stAtE ,SociaL EnGineerINg,AntivirUs,43.0,31.25
Japan,2015.0,DDoS,,,207244.0,HACKer Group,,AntIvirus,38.0,83.21
India,2018.0,MAlwarE,,66.96,294133.0,,SoCial EngineeRing,  VPN ,20.0,
BrAzIl,2023.0,RanSomWare,,71.4,,HAckEr GRoup,WeAk PAsSwords,VPN,58.0,22.35
 ChinA,2024.0,,TelecommuNicAtioNS#,,54722.0, NatIon-stAte ,SoCial ENginEeRinG,EncryPTIoN,13.0,470.49
,,PHIShing,Education,17.32,178951.0, NatiOn-statE,,AntiVirus,26.0,83.67
USA@,,,HealThcaRe,17.24,682791.0,InsIDER  ,,EncrYpTion,44.0,23.53
,2016.0,SQL InjectioN,EducAtion@,17.05,888205.0,,Weak PAssworDs,AI-BasEd DETecTiOn!,38.0,37.48
FrAnce,2022.0,PHishING,IT,52.19,794901.0,InsIdER,  ZerO-day ,VPN,26.0,644.21
,2018.0,DDoS,GOVErnmEnt,27.44,978683.0,InsiDEr,ZerO-DaY,,,38.37
AustraLiA,2015.0,,TELeCOMmUnICatIOns,73.77,639279.0,NaTIon-sTate,Zero-daY!, VPN  ,44.0,
,2020.0,,Retail,10.94,675338.0,HacKEr Group,  WeaK PasswordS ,,54.0,19.54
AustraLia,2021.0,,GOverNMent,42.24,147589.0,InSiDer,UnPatChed SoftWaRe  ,ANtivirus!,31.0,23.96
AustralIA,,DDoS,GoVErnmeNT,82.39,646824.0,,ZEro-day,AI-BaSED DetEctiOn,2.0,22.38
China,2016.0,PHISHINg,GoveRnment,37.62,465317.0,InsIDer, SOcial EnGineering,FIReWaLl,,8.01
USA,2023.0,MalwaRe,IT,21.53,,UnKnown,UNPATcHeD SOftwaRE,ANTIVirUs@,50.0,
,2023.0,  MAlwAre,IT ,43.51,684108.0,,,Firewall#,24.0,15.74
RuSsia,,  DDoS,HealTHcaRe,,130510.0,UnKnOwN#,SOCial EngINeeRiNg@,AI-based DeTecTIOn,66.0,132.6
BrazIl,2016.0,MaN-iN-thE-MiDdlE,,43.45,489853.0,Nation-stAte,ZeRo-day,,28.0,30.82
  AUstraLiA,2022.0,MAlwAre,,47.92,25905.0,,UNpatched SofTwARe,VPN#,40.0,40.02
JAPaN,2023.0,,IT,73.74,795367.0,,  ZerO-day ,,55.0,366.92
AUstRAlIa,2023.0,,REtaiL,93.25,349335.0,NatIon-state,ZEro-daY,,27.0,380.89
,2015.0,RanSomwaRE,GOVERnmeNt,13.92,,,,VPN,38.0,35.76
,2018.0,PhishIng,GOvernMEnT,,25094.0,NATion-stAte,UnpaTcheD Software,VPN,42.0,21.19
,2024.0,PhIShiNg,Retail,44.08,988889.0,,UnpAtchEd SOFtWAre@,EncRyptIon,,14.93
  JapAN ,2022.0,Man-in-the-MidDlE,,65.19,216303.0,Hacker GroUp,,AI-based DETEction,49.0,154.34
AustraLIa,2023.0,RAnsomware,HeALthCaRe,,388211.0,NatIon-state,WeaK PAsswOrds,Antivirus,22.0,40.16
 USA ,, Man-in-tHe-MiddLe  ,,83.61,30235.0,InsIder, Weak PaSsWords,ENcrYPTion#,47.0,30.58
USA,2023.0,MALWaRe,BanKing,13.99,109083.0,NATIoN-State, WEAk PAsSwordS,Antivirus,49.0,16.11
GErmAnY,2017.0,MaLwArE,HealThCARE,49.09,397361.0,HaCkEr GRoup,,EncrYPtIon,57.0,
UK,2016.0,RaNsomware,Retail,,329026.0,NaTion-sTatE,WeaK PaSsWoRds#,,31.0,
AustraliA,2017.0,Man-in-the-Middle,IT,45.5,889521.0,NatION-statE,,,,7.59
  USA  ,,SQL InjECtiOn,Healthcare,73.16,849755.0,Insider,,,46.0,
,2021.0,PhishIng@,EducaTion  ,70.2,631101.0,UnKnowN,,,36.0,24.51
,2016.0,DDoS#,HealtHcaRe,10.62,625954.0,Insider,,AI-basEd DeTecTion,71.0,43.62
,2023.0,Man-iN-The-MIDdle,IT,,220769.0,UNkNown,Zero-Day,VPN,71.0,
ChiNa,2018.0,,HeaLTHcare,52.01,527443.0,  HackEr GroUp  #,UnpaTched SOfTWarE, FiRewaLl  ,24.0,
 Germany  ,2020.0,DDoS,GOVeRnMEnt@,32.71,,HacKEr GRouP,Zero-day,VPN,59.0,33.37
  CHina,2017.0,,EducAtion,47.46,783239.0,UnKnOwn,SociAL EnGineering,,41.0,50.65
China,2022.0,MalWare, TelecommunIcations  ,11.39,104772.0,UnknoWN,  SOCiAl ENgineerinG,FIreWall,,496.49
Germany,,DDOS,TelecoMmunIcations,31.68,33098.0,HACkeR GroUP,ZeRo-dAy@,,,71.28
UK,2024.0,MAn-In-tHe-MiddlE,HeaLThcare,,512847.0,InsiDER,  SOcial EnGiNeering !,ENCrypTioN,72.0,16.58
AUstRaLia,2018.0,  SQL InjectIon  ,,71.01,840106.0,InsIder,WeAK PASswoRDs,VPN,44.0,18.78
BrAZil,2024.0,SQL Injection,HealthCarE,69.57,269458.0,Insider, Zero-DAy  ,  Firewall  ,15.0,
  Germany ,2021.0,RANsOmWare,  HeAlthcare,,242893.0,NatiON-state,  Zero-dAy ,AntIVirUS,50.0,383.0
Russia,,PhisHInG  ,,5.25,605947.0,Insider,Zero-Day,Firewall,13.0,83.34
JapAn,2018.0,SQL InjeCtIon,EduCaTIoN,60.57,468399.0,NatiOn-sTatE,  ZEro-Day  ,,,153.4
IndIa,2015.0,RansoMWarE,,,503774.0,Hacker GRouP,,Firewall ,37.0,
,2021.0,,RetaIL,45.74,754278.0,,SocIAl ENGInEErIng#,FiREwall,46.0,458.79
JaPaN,2019.0,,IT,89.81,126120.0,UnknOWn,SocIal ENGineeRINg,ENCRypTion,39.0,
UK,2018.0,MaLWare,IT,73.27,210024.0,,, AntivIRuS ,20.0,148.54
FrAncE,2022.0,DDoS, BAnkiNg ,51.33,970775.0,InsidEr,UnpatcHed SofTwAre,  AI-basEd DetecTiON ,21.0,238.79
France,2017.0,RAnsoMwaRe,EduCaTiON,19.84,832471.0,InsidEr,SoCIal EngineErIng,,,7.33
InDIa,2024.0,,,97.25,165316.0,UnkNowN,,ENcryPtIoN  ,61.0,14.46
AUStrAlIa,2016.0,DDOS,,2.96,990886.0,Insider,Weak Passwords, AI-baseD DeteCtioN  ,59.0,15.24
UK,2021.0,Malware,TeLeCommuniCATiOns ,82.28,,NatioN-staTe,Zero-day,,,18.3
,2021.0,Man-In-the-MIdDLE,RetAIl,,,UnKnOwn,Social EnGiNeering,AntIvirUs,50.0,26.51
UK,2016.0,MaLware,HeAlthcare,65.14,,NATIon-StatE ,WeAK PaSsWords,Antivirus ,49.0,78.56
 Brazil ,,DDoS,  HEaltHcarE,,,, UnpatcHeD Software  ,  VPN!,9.0,200.04
UK,2015.0,RansomWare,TelecomMuniCations,22.58,368441.0,HacKEr Group,WEak PassWoRdS,AI-bAseD Detection,71.0,276.43
RUSsIa,,MalWaRe,,,945465.0,UnkNOWn,WEAk PaSSworDs, Firewall,5.0,15.54
 USA,,DDoS,,27.08,551900.0,UNknOwN,  SocIAl EngiNeering,VPN,17.0,
UK,2021.0,MalwarE,,73.02,731722.0,HaCker GROuP,WEak PaSswords,VPN,28.0,392.97
GErmany,2018.0,PhisHIng,BAnking,88.73,,InsiDeR,UnpaTched SoFTWAre,AI-BaSed DeTEcTION#,33.0,144.04
,2020.0,DDoS, EducaTion @,16.35,, Insider  #, ZeRo-Day ,AI-baseD DeTecTiOn#,45.0,
USA,2022.0,RaNsoMwARe#,IT,,826018.0,Hacker GRoUp,,FIRewaLl,24.0,111.05
RUSsiA,2020.0,RaNsomwarE,,76.61,791323.0,,UNpATched SOftware,,40.0,
USA,2015.0,SQL InJEctIoN#,BaNking,42.77,117454.0,InSider,,FIrewAll,19.0,119.93
  JapAN  ,2023.0,RaNSOMwArE,REtAIL,,,Hacker GrouP,Weak Passwords,ENcRYpTion,,32.98
,2016.0,PHishinG,  IT  ,,770227.0,,,,,81.71
China,2024.0,  SQL INjection ,,21.33,997411.0,  NaTIon-stAte  ,, ANtIvIrus  ,25.0,5.66
JAPAN,2020.0,MaLwarE,Education,66.93,640603.0,HAcKer GroUp, UNpatcheD SOfTwArE ,VPN!,23.0,19.46
,2024.0,,TeLecommUNicAtions,81.54,499671.0,  Hacker GROUp  ,WeAk PasSWORds, VPN !,4.0,19.78
,2020.0,PhIsHIng,,,,Nation-sTATe,SOcIal EnginEErIng,FIrewALl,54.0,31.14
FraNcE,2017.0,PhIsHIng,Retail,43.2,377252.0,NaTion-staTe,Unpatched SoftWaRe,,8.0,
USA,,RAnsomWare,RetAil@,,653168.0,UnkNowN#,,AI-bASed DeTecTioN,,
BrAZil,,,IT,26.62,955790.0,NaTIon-stAtE@,ZeRo-day,ENcRyPtion!,44.0,5.63
USA,2018.0, PhiSHInG  ,,15.56,734448.0,Unknown,SoCiAL ENgIneerIng@,EncryPTIon,,
ChIna,,,Retail,,,UnknOwn,ZeRo-dAy,AnTivIrUs,4.0,48.24
FRANce#,2019.0,SQL INjEction!,BANkinG@,98.04,278315.0,UnknOwn,UnpatchEd SOFtwaRE,  VPN  ,3.0,4.23
,2020.0,Man-in-the-MIdDle,,,,UnknOwn @,ZEro-day#,,54.0,15.61
BRAZil,2020.0,DDOS,EducaTion,26.57,384988.0,InsidER,ZErO-daY,  AI-bASed DeTeCtIOn ,19.0,90.46
JAPan,2020.0,,EdUcaTIoN  ,29.58,141411.0,,UnpAtCheD SOftware@, AI-baSeD DeteCtIOn  ,58.0,24.18
FrAnCe,,,  HEalthcArE @,72.54,,InsidER,SocIaL ENgineeriNG,VPN,12.0,
UK,2020.0,RaNSoMWAre,EdUCatioN@,35.16,100749.0,Unknown,Zero-daY,,62.0,48.82
RussiA,2019.0,  MalwArE ,EDuCAtion,56.94,217880.0,NatIOn-sTatE,,VPN,48.0,91.41
FRance,2023.0,,TeleCommuNicAtions  ,,357542.0,HackEr GroUp,ZeRo-DAy,AntivIrus,,6.33
 UK@,2021.0,MAlWaRe@,,,,Hacker GRoup,ZeRo-Day,ANtivIrUs,36.0,124.61
  France,,MaN-In-the-MIdDle ,EducaTion,36.92,829140.0,NAtioN-sTAte@, UnpatchEd SoFtwArE  ,EnCryptIOn,2.0,
FRanCe,2017.0,SQL InJectiOn,HEalthCaRe,42.8,683189.0,,ZeRO-daY,VPN,19.0,53.15
,2019.0,,BankInG,89.41,,HaCKER Group,,,29.0,51.77
AustrALiA,2017.0,MaLware,IT,,,InSider,WEak PAssWORdS@,,,24.76
,,SQL InjeCtioN,TeLecOmMunICatiOnS,13.94,,NATiOn-StAte, Weak PAsSworDs  ,,69.0,11.76
IndiA,2018.0,PhishIng,IT,13.05,400964.0,NaTIon-statE!,Weak PaSswoRDS,VPN,,35.57
FranCe,,DDOS,TelecomMUNIcAtionS,52.94,192293.0,  NatioN-StAtE ,Weak PaSsWords,VPN,57.0,
Russia,2019.0,Man-in-The-MiDdlE  !,BankIng,,,InsIdEr,UnpatChEd SofTwAre,AnTIvirUs,27.0,7.08
BrAzIl,2016.0,PhishInG,EDucAtion,9.23,774750.0,NAtION-sTate,SociAl Engineering,FirewalL,70.0,691.23
  FRancE ,2022.0,,,78.2,666996.0,,WEak PasswOrds,EncrYption,,
 GErmany  ,2016.0,  MaLware  ,HeaLthCare,,21382.0,UnkNown,WeaK PasSWORdS,EncryptioN,21.0,57.57
GeRmANy,2021.0,PHisHing,TElecommunicatioNs,55.14,463525.0,NAtiON-sTatE@,UnpatChed SofTware,AI-BaSEd DEteCtiOn,,
RUssia#,,RansomwarE,TelecoMmunicatIons,16.98,905673.0,INSIdEr!, WeAK PasswoRds  ,VPN,54.0,17.17
IndiA,,MAn-iN-the-MidDLe,RetaIl,,619881.0,NatiOn-stAte#,UNpatCHEd SOftware,,42.0,25.68
 FraNce ,2015.0,MaLwarE,BankInG!,20.27,987350.0,  InsidEr  ,ZEro-day,AntiVirUS,4.0,11.38
,2019.0,PhishiNg,EduCAtion@,,849084.0,,ZerO-Day,,62.0,39.91
,2017.0,Man-in-the-MIddlE  ,EduCatIoN,13.06,799627.0,,,,,29.65
FRaNCe,,Man-in-the-MiDdlE,EducATiON,87.39,307155.0,,UNpaTched Software#,,28.0,876.71
JAPan!,2024.0,RAnSoMWAre, REtAIL!,88.36,989106.0,UnknowN,ZerO-dAY,FirewAll#,3.0,9.5
InDia,,,,84.77,129144.0,HacKEr GRoup,Weak PaSswordS,AnTivIRUs,25.0,63.69
,2015.0,MaLWare, GoveRNMent!,57.81,767562.0,UnknOwn,Zero-daY,AnTivIrUs,61.0,79.18
BraziL,2015.0,MalWarE,,74.03,956965.0,,,EncryptIOn,40.0,10.96
GerMAnY,2023.0,PHisHING, RETaIl ,87.55,291580.0,UnKnoWn,UnpatCHEd SoftwAre,FirewalL,25.0,
,2017.0,RansOmwarE,,76.96,950276.0, HacKer GRoup,UnpAtcheD SofTWarE ,FiReWAll#,31.0,30.04
UK,,Man-in-THE-Middle,TeLECommuNiCATiONs,89.07,,Unknown,,FirewaLl,72.0,
GeRmaNy,2015.0, DDOS ,HealtHcaRe,33.96,931456.0,HaCker GRoup,,,22.0,146.9
JapaN,,,RETail,28.77,983880.0,NAtIoN-StAte,UNpatcHeD SoftWare#,AnTIViRUs,54.0,
CHiNa,,DDoS,EdUcAtIon!,18.49,,NATiOn-STate,Social ENgineering,FIreWAll ,,11.34
AusTrAlia,2018.0,MalwAre,EDucaTIOn,21.39,437056.0,HACker GroUp,,AI-based DetECtiON,52.0,153.22
InDiA,2021.0,,,57.91,769222.0,INsidEr,WeaK PassWorDs  !,AntiViruS,32.0,
  AustraLiA,2022.0,MaLWaRe,,4.5,436928.0,,SociAl ENgineeRiNg!,,,
ChIna,,DDoS,HeALThCAre,38.67,340194.0,UnknoWn!,,,44.0,
IndiA,2019.0,DDoS,IT ,44.01,612030.0,NatiOn-sTaTE,,,47.0,20.75
,2019.0,  MAn-iN-thE-MidDle,IT,87.89,551100.0,InsideR,ZerO-dAY,VPN,9.0,179.45
BRaziL@,2022.0, PhishinG , IT,,,UNknOwn,SociAL EngiNEErING,  VPN  ,6.0,17.58
JaPan,2015.0,,,,680720.0,NAtion-state#,ZErO-daY,ENcryPtiOn,2.0,1555.69
USA,2017.0,,,51.69,156213.0,NatioN-sTaTe,WEaK PaSswords!,VPN,9.0,19.31
,,MAn-in-thE-MIdDle,Retail,,468856.0,HAckeR GroUP,UNpaTcheD Software,FirEwaLL  ,,254.46
,2023.0,RanSomwarE,GoverNment,63.45,90678.0,Nation-statE,,,22.0,
 UK  @,2022.0,DDoS!,ReTaIl,45.73,,HackEr Group,SociAl ENgineering,VPN,63.0,
CHiNa,2021.0,Man-in-THE-MiDDlE#,BanKiNG,33.3,935265.0,,UnpatCHed SoftWaRe,FirEwaLL,20.0,19.97
  JApaN  ,2023.0,SQL InJEctiOn,,43.96,459922.0,NATion-stAte!,ZerO-dAy@,ENcryption,12.0,43.51
FRance,2017.0,DDoS,HeaLtHCare,,,HAcker Group#,Zero-daY,ENcrypTIon,4.0,2.16
 UK ,2020.0,,BanKIng,53.03,528708.0,UNKnown!,SoCial ENGineErinG,VPN,14.0,76.45
,2020.0,SQL INjectION,Healthcare,38.89,513096.0,Hacker GrouP,WeAk PaSSWords,VPN,57.0,92.24
,2018.0,  DDoS,EDucatIon,79.5,636407.0,HackER GroUp,ZEro-daY,EnCryption,11.0,66.7
USA,2020.0, RAnsoMwaRe  ,ReTAil,38.02,419557.0,UnKnown,,AnTivirus,2.0,0.63
,2018.0,, HEALtHcaRE,47.47,784099.0,,,,,8.18
  JapaN  ,2024.0,,,71.18,37870.0,,ZERo-day,,31.0,17.78
,2022.0,MaLware ,IT,4.08,,HACkEr GRoUp,Zero-day#,AntIviRUs!,22.0,84.56
IndIa,2018.0,SQL INjeCtion,TELEcoMmunicAtioNs#,15.96,444408.0,,WEak PAssWORdS,AI-BaSeD DeteCTion,64.0,84.27
GErMany,2015.0,MaLWArE,BaNkinG,56.13,526658.0,NatIOn-STaTE,, VPN ,38.0,42.29
 Japan,2021.0,MAlwaRe,RetAil,30.53,333238.0,HaCkEr GrOup,SOciaL EngineeriNg,,20.0,141.58
AustrAlia#,2020.0,DDoS,RetAiL!,31.36,449936.0,InsiDer,Weak PAsswORds,VPN,52.0,11.71
 GErmany !,2023.0,MaLwarE,ReTaIl,71.05,61238.0,,UnpAtched SOftware,AI-based DetectiON,41.0,136.37
,,MALWaRe,  Education ,24.93,916209.0,UnkNOwn,Zero-day,,50.0,
IndIa,2022.0,DDOS@,,13.97,762440.0,NatiOn-StAte,UNpatChed SofTware,AI-baseD DEteCtION,,96.19
,2021.0,  Malware ,BankiNg,,248859.0,NaTION-StATe,SOcIAl EnginEering, AntiViruS ,33.0,41.55
RUSSia,,,,47.8,645774.0,HacKeR GRoup,,,7.0,850.75
BrAzil,2024.0,MAn-iN-thE-MidDlE,HeaLTHcaRE,61.55,218189.0,UNknOWN  ,WeAK PaSsWoRDS,AI-Based DEtecTiOn,48.0,114.41
  China,2015.0,MaN-in-the-MIdDLe,BANKiNg,66.47,623301.0,,SocIAL EnGIneeRiNG,VPN,40.0,12.78
GErmany,2017.0,,EDucaTiOn,10.32,195872.0,HaCkeR GROuP,SoCiAl EnGIneeRiNG ,,22.0,79.24
GermanY,,,IT,76.36,807745.0,NAtion-sTAte,UnPAtChed Software,AI-BAsed DETEcTiON,71.0,
FRancE,,RansOmware,,,,,UNPaTChed SoftwaRe,,,22.6
BrazIl,2017.0,MalwaRE,,73.71,377769.0,,ZeRO-day,,38.0,279.75
UK,2018.0,RaNsomwarE,TelecOMMuNicatiOns,99.41,355256.0,HackEr GroUP,UnpatchED Software,FIrEwaLl,,96.84
UK,2017.0,  DDoS  !,GovernmEnT,65.57,478549.0,HaCkER GROUp,WEak PassWordS,AntIViRUs,37.0,1.63
,2022.0,MALWarE,,60.85,,,WeaK PassWords,AI-BaSEd DEtectiON,11.0,85.58
FranCe ,,RaNsOMWArE,EdUCAtIOn,34.54,,  InSidEr,WeAk PaSsWOrdS,AI-baSed DeTection,25.0,29.69
,2023.0,Phishing,GoveRnmeNT,43.49,27694.0,UnknOWn, Weak PaSswoRds  ,EnCRyption,30.0,122.21
ChinA,2017.0,,,30.38,29840.0,HacKer GrOup,Weak PassWoRDS,AI-basEd DETECtion,63.0,225.05
RusSia ,,Phishing, BaNkIng,4.59,,,,FirewAll,19.0,
,2015.0, MAn-iN-the-MiddLE  ,,54.54,775866.0,,WEak PasswOrDs,  AI-BaSEd DeteCTion ,,663.73
,2021.0,Phishing,REtaIl,95.86,,Hacker GROUp,ZeRO-dAy,Antivirus!,62.0,
  USA  ,2017.0,DDoS,,,276199.0,,WeaK PAsswOrds,,28.0,139.38
UK,2015.0,RansoMWare,IT,,534962.0,UnKNOwn,WEak PaSSWords,ENCryptioN,59.0,
 UK  ,2022.0,,TelEcommunications,62.8,758516.0,,,VPN,,
AusTralIa,2018.0,PhIShing,,82.18,943662.0,,WeAK PaSsworDS,AnTIviRus,47.0,
GERmany,2019.0,,GovernMent,99.3,257068.0,HAcker GroUp,,AI-BasEd DeTecTiOn@,17.0,22.38
USA,2015.0,DDoS#,,66.04,75167.0,,,VPN,13.0,28.97
GermANy,2017.0,SQL INjection,,,,INsIder,WeaK PaSsWorDS,AI-Based DETectIon,43.0,7.62
JapAn,2018.0,RansomwAre,IT@,60.82,917016.0,UnknoWN,,,39.0,78.42
UK,2020.0,SQL Injection,BAnkINg,40.31,760892.0,HaCker GrOup,ZERo-day,VPN,22.0,88.93
UK,,SQL InJEction,TELeCOMmUnIcations,,204624.0,UnKNOwn,UNpatcHed SoftwAre,VPN,33.0,
 India ,2020.0,DDoS,HeAlthcAre,,,InsIDer,UnPAtched SOfTWARe,FirEWall,,178.88
Australia,,RaNSomwaRE,GovernmENt,96.44,,UNKNoWN#,SociAl Engineering, FirewaLl ,37.0,
FrAnce@,,MALwarE,REtail,13.77,,NatioN-State,Zero-day,Firewall@,68.0,
RUssia,2023.0,RanSomWarE#,BanKing,54.09,514319.0,Hacker GrouP,Zero-daY,FIrewAll,,104.51
  USA  ,2016.0,,EduCatiON,2.17,180599.0,InSidER,SociaL ENginEeRing@,AntiviRUs,4.0,288.91
ChinA,,SQL InjectiOn,RetAil@,61.83,129677.0,HackeR GroUP,  UnpatcheD SoftwaRE , FiREwAll  ,60.0,169.49
 USA,2016.0,RAnsOMWare,,99.88,999508.0,UNknOwN,UNpatCheD SoFtWARe,,23.0,277.75
AUstralia,2019.0,,HealThcAre,3.92,915247.0,NATion-state!,,,52.0,
  JapaN,2015.0,MAn-in-tHe-MidDle,EDUcAtIon,50.99,685261.0,,UNPatcheD SOftware,  AI-based DeTecTIon,36.0,27.11
UK,2023.0,DDoS,,34.8,,HacKER GrOuP,SOcIal EnGiNeering,ENCRyptioN,50.0,18.08
  ChiNa,2017.0,Man-in-the-MiDdle,GoVerNmEnt,49.37,, NatiON-STate  ,UnPatched SoftWaRe,AntIVIRUs@,,
AUSTrAlIA,,DDoS,Education,61.23,228033.0,  NatiOn-stAte,Unpatched SOftWaRe,,43.0,48.53
,,,EDuCatioN,95.54,862718.0,,WeaK PassWoRdS, ANtiviRus,44.0,74.44
,2017.0,RANsomWare,HEalthcAre,16.77,924837.0,HackEr Group,UnPatched SOfTwaRE,,62.0,44.97
JApaN@,2018.0,SQL INjectiOn,GovernmenT,20.36,876850.0, Insider #,Weak PasswORdS,AI-based DETeCtioN,8.0,44.68
GerMANy,,PhishiNg,BankIng,10.56,556014.0,NatiON-State,UNpaTcHeD SOfTwarE!,,11.0,17.03
BraZIL,2021.0,PhiShING,GOverNMenT@,42.82,974362.0,Insider,UnPAtcHeD SofTwaRe,,70.0,
InDIa  ,2017.0,MAN-iN-thE-Middle!,IT@,68.68,725608.0,, Zero-DAY  ,,15.0,61.24
,2019.0,MAN-in-THe-MiddLe,  EdUCatIon,6.79,386691.0,NAtion-statE,WEaK PassWords,,20.0,42.03
  India ,2017.0, SQL InjectioN  ,GoVeRnMent,40.98,402855.0,INsidEr,SocIal ENginEering,  AI-based DETecTiOn ,26.0,17.79
Japan,2018.0,,HEAltHcaRe,25.66,518357.0,INsider!,WeAK PasSWordS,FirEWALl,42.0,7.4
 USA ,2018.0,, BankINg  ,29.35,724633.0,HacKER GrOUp,WeAk PAssWordS #,,26.0,388.37
Germany@,2015.0,,IT,,742272.0,NAtiOn-stATE!,,AnTiViruS,64.0,125.46
BrazIL,2024.0,,IT,83.09,650093.0,UNknOwn@,  SociAl EnGinEerIng,ANTivirus,58.0,4.78
JapAN@,2021.0,PhiShiNG,BanKIng#,94.32,755165.0,,,ANTivirUs,28.0,171.52
UK,,DDoS,  IT ,67.12,581923.0,,SocIal ENGInEerIng , VPN,,
AUStraliA,,  Man-iN-thE-MiDdLe ,,76.83,637189.0,,Unpatched SofTware,ANtivirus,,65.8
  USA,2017.0,DDOS@,RetaiL,70.37,513625.0,  NatiOn-STAte ,,VPN,37.0,600.14
GERmaNy,2024.0,  Phishing ,GovernmeNT,22.46,499142.0,NatioN-statE,,VPN  ,70.0,75.57
USA,,PHishiNG,,17.64,8334.0,UnknowN,ZerO-dAy,  FiRewall  #,,6.52
 USA ,,,,37.3,617277.0, INsider,Social EngIneerinG,AnTivirUs,4.0,94.42
 USA  ,2018.0, MaN-In-the-MidDle ,Education,2.17,,UNknoWn,,VPN,,78.83
China,2024.0,,BankiNG,99.99,,,Weak PasSWords,EncrYPtIOn,,22.09
RUssia,2018.0,DDOS@,,,839882.0,Nation-sTATE,SoCiaL EnGineERInG,AI-based DeTEcTioN,,129.07
,2021.0,RaNsomware,EduCaTIon#,86.8,852965.0,Nation-stAte,Weak Passwords,AntIvIRus,39.0,4.47
BrAZIl,2021.0,Man-iN-thE-MIddle,,3.69,566386.0,INSider,UnpAtched SoFtwarE  ,ENcryptiON,,241.25
JapAn,,PHiShing,,73.85,,INSider,  Zero-Day  ,EncrYpTiON,55.0,
  UK,,DDoS,,0.5,261266.0,Hacker GRoUp,Weak PASswOrdS,FiRewall,63.0,12.46
FrAnce,,  MalwAre ,IT,91.94,,HaCkER GrOuP,Weak PasswOrds,,,
China,2023.0,MAN-IN-thE-MidDlE,Education,35.37,,  HAcKEr Group  ,ZEro-day,ANtivirUS,11.0,104.53
JAPaN,2023.0,SQL InjEctioN,GoverNmEnt,69.61,391049.0,UNKnOWn,,,35.0,69.82
France,2020.0,,  GoVErnmEnt  ,81.53,,UNKNoWn,Weak PAsswOrdS,EncryPtIoN!,29.0,17.92
GeRmAny,2020.0,DDOS, IT  ,63.96,650469.0,UnknOwN,UnpaTchED SOftwaRe,AnTIVIRuS ,58.0,25.56
,2020.0,SQL InjectIon,IT,68.17,247149.0,NAtion-STate,UNpaTched SOftWAre#,ANTiviRUs,47.0,9.98
Japan,2019.0,DDoS,EDuCAtioN,15.54,645578.0,INSIder,WeAK PasswoRds,AI-bAsed DEtectiOn,56.0,
GeRmanY,2019.0,  SQL INjeCTION  ,,67.05,,UnknoWn,UnPatcheD SOftware,AntiviruS,16.0,273.84
FrANCE,2019.0,,HEalthcaRe,25.19,897755.0,Hacker Group,SoCIAl Engineering,,61.0,
